feature	cluster	vt_score
AL929554.1	1	2.23732997160755
ALB	4	3.2978634505262794
ALDH1A1	1	3.043359000398952
ALDH1A3	2	3.1709197745544886
ALDH1L1	4	2.004042795910276
ALDH3A1	5	2.494629348443862
ALDH5A1	4	2.0836986351997333
ALDH8A1	1	3.0590594099806774
ALDOB	5	2.0946746360843744
ALDOC	4	2.6852837660922315
ALG1L	4	3.534139996936871
ALKAL1	3	2.2072662783651333
ALLC	1	3.33227454451058
ALOX12	1	2.3001823265591237
ALOX12B	4	3.688030978841925
ALOX15	1	3.077208505319702
ALOX15B	1	2.2912429230938196
ALOX5AP	5	2.908309750822234
ALOXE3	4	2.3522816522841303
ALPK2	3	3.5677080110741013
ALPK3	1	3.3182486750084794
ALPL	5	3.1235370459041185
ALPP	1	3.594818859470324
ALPPL2	1	2.829890732385327
ALS2CL	1	2.6213510765699897
ALS2CR12	1	2.252930897446945
AMBP	1	2.38107199816063
AMDHD1	5	2.466902974493766
AMER2	4	2.143952677587926
AMH	4	2.0156506848751397
AMHR2	1	3.896766793691644
AMIGO2	3	3.0748347177249795
AMN	1	2.793819977389415
AMOT	4	2.678643511369864
AMOTL2	3	2.120885641024054
AMPD3	1	2.029686086795625
AMY1A	1	2.6334742790268577
AMY1B	1	2.2293147648667007
AMZ1	1	2.968599713575098
ANG	3	3.448679443079278
ANGPT1	5	2.9025134925311344
ANGPT2	2	3.648888806153502
ANGPTL2	5	3.219407903069555
ANGPTL5	1	2.6849245763966985
ANGPTL6	5	3.7644792752746383
ANHX	1	3.1646575151768332
ANK1	1	2.281418735741618
ANK3	1	2.517364684270296
ANKDD1B	4	2.145071978018334
ANKEF1	5	2.655421412486302
ANKK1	1	2.1259451159899223
ANKLE1	4	3.038536713173197
ANKRD1	3	3.507280584069343
ANKRD18A	1	2.9308863627037147
ANKRD18B	1	2.7973352507365976
ANKRD2	1	2.01073081105716
ANKRD20A4	1	2.1162605003358697
ANKRD22	5	2.759051117339386
ANKRD30A	1	3.16327693512809
ANKRD30BL	1	3.401455440971451
ANKRD33	1	3.1101487190727903
ANKRD34A	1	3.4251368131043196
