feature	cluster	vt_score
CAVIN2	3	-4.091621238363644
CBLN4	3	-2.5491687055291123
CBY3	2	-2.601359409469398
CCDC110	4	-2.613277099161684
CCDC144A	2	-2.0563415971555417
CCDC148	3	-4.078988227063007
CCDC150	2	-2.2959512989464193
CCDC152	3	-2.154226605091734
CCDC153	2	-2.1134860847164503
CCDC168	2	-2.3301766392940593
CCDC175	3	-2.4258123681770685
CCDC182	3	-2.5169545772089026
CCDC187	3	-4.911266161024893
CCDC190	2	-2.7788609781579527
CCDC196	2	-2.518076276617554
CCDC38	3	-3.725029896016547
CCDC39	3	-4.812073049887342
CCDC60	3	-2.5364727203769704
CCDC68	3	-2.9567798974984187
CCDC69	3	-4.877010498028252
CCDC80	1	-2.339747581062153
CCDC89	3	-2.3156219811304477
CCER2	3	-4.727194557718531
CCKAR	4	-3.1522202671193926
CCL14	3	-3.839639642386205
CCL22	3	-5.103745310002328
CCL3	3	-5.493128224565374
CCL4	3	-6.547762480861804
CCNA1	3	-3.861873664474595
CCR10	4	-2.0063533064881534
CCR4	3	-3.436724453182118
CCR6	3	-2.0487750335839676
CCR9	3	-2.8785617855455854
CD160	3	-2.7804404992660303
CD2	3	-6.284956339439749
CD200	3	-4.970213094962092
CD200R1	3	-3.6145942928477033
CD207	5	-2.1498515783051695
CD247	3	-6.87019726598061
CD274	4	-2.633295883833408
CD300C	3	-7.303836737190186
CD300LF	3	-7.822667395920476
CD302	3	-2.1048686001585013
CD33	3	-7.908803339836697
CD37	3	-6.2970298307934325
CD3G	3	-5.396858835776199
CD40	3	-4.175352364278791
CD48	3	-7.187321339341693
CD52	3	-6.293958514223392
CD83	3	-3.9058144112254864
CD84	3	-7.670801777555492
CD86	3	-7.8753645282180385
CD8B	3	-7.037985759266524
CDA	3	-2.5843774209562373
CDH10	3	-3.872355645678836
CDH11	4	-3.5971413796398477
CDH13	4	-2.030561851383088
CDH3	3	-4.211356114930722
CDH7	3	-3.4988538883014932
CDH8	2	-2.4850967431344997
CDHR4	2	-2.1699438096312313
CDK15	5	-2.201396574973216
CDK5R1	3	-3.3411102016877554
CDKN1A	4	-3.906394534514922
CDKN2B	4	-3.90107896830966
CDKN2C	3	-2.1688545361326064
CDO1	3	-3.6399856627351763
CDRT15	3	-2.308587261893999
CEACAM16	4	-2.190846631385566
CEACAM21	3	-8.350618146311573
CEACAM8	3	-2.428758446474892
CEBPB	4	-2.537132417318175
CELF6	3	-6.3498164416172465
CELSR1	1	-2.057446094435326
CENPF	2	-2.028690128706987
CENPS-CORT	2	-4.427369134765615
CENPVL2	3	-2.3381040538034457
CEP126	3	-2.4360924577549947
CFAP126	3	-4.105415675142025
CFAP161	3	-2.9417255561954287
CFAP206	3	-2.771557384528781
CFAP221	3	-4.472880624834712
CFAP43	3	-4.421546886141428
CFAP46	3	-3.899673295163658
CFAP65	3	-4.516839726755636
CFAP70	3	-4.2838048440151155
CFAP99	3	-4.9703531202000795
CFHR4	3	-2.5603161537708177
CGNL1	3	-6.015582154025773
CGREF1	3	-3.6046089086637303
CHAD	3	-2.2127700493116325
CHDH	3	-4.8247318065465805
CHIA	3	-2.673724544721776
CHIT1	3	-6.48095722541555
CHP2	3	-3.266973716655544
CHRDL1	3	-3.326833112639619
CHRM2	2	-3.744439013859184
CHRM5	3	-3.4125788701848094
CHRNA6	3	-3.0188634823113687
CHRNA9	4	-3.446780325292247
CHRNB2	3	-5.595011603517308
CHRND	3	-2.798577245969252
CHST1	3	-4.385106905115366
CHST5	3	-3.712886161243623
CHST9	3	-7.346418682453144
CHSY3	4	-2.337385103145721
CIDEB	3	-5.612476976897657
CLCF1	4	-3.9508771370814975
CLDN1	4	-2.681498634450008
CLDN10	3	-3.2498953888835307
CLDN2	4	-2.553210577775989
CLDN5	3	-6.644751319585888
CLDN6	4	-2.456012275143587
CLEC11A	4	-2.3223091097001234
CLEC18C	3	-2.2515940424997423
CLEC2A	3	-2.419786598811678
CLEC4D	3	-2.1890097792879892
CLEC5A	3	-5.415444642633164
CLEC7A	3	-7.065068917349804
CLIC3	2	-2.382358841243413
CLIC5	3	-7.182273929523593
CLNK	3	-5.027687193325399
CLU	3	-5.773474827862089
CMA1	2	-2.110445090605428
CMC4	1	-2.2205290104111874
CMKLR1	3	-3.528353234829026
CMPK2	3	-2.1130481173772258
CMTM5	3	-5.335995409490673
CNBD1	3	-2.4976778737891827
CNFN	2	-3.111782271463344
CNGA1	3	-2.2659413451767874
CNGA3	3	-4.228468383039766
CNKSR2	3	-5.120705831467249
CNPY1	5	-2.25902693593674
CNTFR	3	-4.895587658738452
CNTN1	3	-5.797357681796779
CNTN2	3	-4.707249063271705
CNTN5	3	-5.454797957299324
CNTNAP5	3	-4.02812265513185
COBL	3	-6.037081176473525
COBLL1	3	-2.3063116355289104
COCH	2	-3.131424538920685
COL11A1	2	-2.11808020666553
COL15A1	4	-4.007639592859697
COL1A2	4	-4.2890727905103825
COL20A1	3	-3.7644806023267994
COL24A1	4	-2.7444034205101406
COL3A1	4	-4.028459826075641
COL4A6	1	-3.0073727919351154
COL6A3	4	-4.552485997360997
COL7A1	4	-2.3732415504430495
COL9A1	3	-4.814069252568827
COL9A2	3	-5.5041781770729905
COLEC10	4	-2.9664827796334534
CORO1A	3	-5.0567423643955
CORO2A	4	-2.090648419779341
CORO2B	4	-2.6202281328273926
COX8C	2	-2.2605392720692703
CPNE5	3	-4.434032522794176
CPNE7	2	-2.2338975482289882
CPPED1	4	-2.686390773346922
CPSF4L	5	-2.1195062714809154
CPT1A	4	-2.91721099146369
CPXM1	3	-3.376915136689149
CPXM2	3	-3.9713262809580474
CRABP1	2	-2.6236135192072463
CRB1	3	-3.9640099133590105
CRIP3	3	-5.519505340653214
CRISPLD2	4	-3.0894433280866376
CRYAB	3	-3.4658820377129693
CRYGD	3	-4.473041993632379
CSF2RA	3	-7.947198963057408
CSF2RB	3	-7.978927249041808
CSF3R	3	-7.971170415923055
CSMD1	3	-4.836186876903658
CSMD2	3	-2.9838261468484726
CSPG5	3	-5.589054762659263
CSRNP3	3	-5.0598472206572325
CST5	2	-2.177271377583118
CT45A1	3	-2.673568131477037
CTAGE15	2	-2.228758529023219
CTLA4	3	-4.707978168819815
CTNNA3	3	-4.722265388805077
CTSB	4	-3.7953760807585897
CTSK	4	-2.484029647587997
CTSS	3	-6.704173100160568
CTU1	2	-2.6073672817575964
CUZD1	2	-2.5617239837650763
CX3CR1	3	-7.245461837992716
CXCL13	3	-2.0749035168278924
CXCL8	4	-3.5657048219436795
CXCR1	3	-5.279558705195294
CXCR2	3	-7.34987563194541
CXCR5	2	-2.624194823137217
CXorf21	3	-8.192437702363843
CXorf65	5	-2.1299628425290935
CYP11A1	3	-2.086352974935536
CYP17A1	3	-2.5304968929977782
CYP21A2	3	-3.11006774888325
CYP27B1	2	-2.408817032151146
CYP2A6	3	-3.34769016193641
CYP2A7	3	-2.8881983055818594
CYP2C8	3	-4.757303239614936
CYP2J2	3	-4.841538184781923
CYP3A43	2	-3.4155939554766865
CYP3A5	3	-2.669017895833605
CYYR1	3	-4.343096230531754
DAB1	3	-3.3978474633168267
DACT2	3	-3.081604044107709
DAPL1	3	-3.623698776574609
DBX2	3	-3.472634719699025
DCAF12L1	2	-2.033977579657879
DCLK2	3	-4.589169335096175
DCLK3	3	-2.545852474569597
DCST1	2	-2.1655945663478953
DCT	3	-5.885943096540156
DDB2	5	-2.4549559781895147
DDTL	2	-2.005869221031282
DDX25	3	-6.2340967944504175
DEF6	3	-5.985169539630552
DEFA1	3	-2.4846832269694006
DEFB1	3	-2.1984661976861344
DEFB134	2	-2.135305717291254
DENND2D	3	-4.430770388496982
DENND3	3	-4.703920701465359
DERL3	3	-2.9107832657327366
DGKK	3	-3.353086897360934
DIO2	3	-2.1175653876029665
DLC1	4	-2.7207644989169575
DLEU7	3	-6.46613966240655
DLG2	3	-3.062578446483025
DLGAP1	3	-2.610006740544664
DLK1	4	-2.385825489470297
DLK2	3	-2.4784852158336728
DLL4	3	-4.696889054470106
DMBT1	3	-3.6273162101749756
DMD	3	-2.35417137844415
DMRT1	4	-2.7858536257470243
DMRT2	3	-2.054800448578533
DMRT3	4	-2.596289083073984
DMRTA1	3	-2.105710090000267
DNAH12	3	-2.5593624120967187
DNAH6	3	-4.181293011677582
DNAH7	3	-5.095083566976122
DNAJC5B	3	-3.1372210170209605
DNASE2B	3	-3.9459762401910994
DNER	3	-5.576239201351277
DNTT	2	-2.856731708374539
DOC2A	2	-4.619158563152596
DOC2B	3	-5.212825189913801
DOCK8	3	-7.529919579759768
DOK3	3	-3.643474474694389
DPEP3	3	-5.816800466259809
DPF1	3	-2.6102957236434126
DPY19L2	3	-2.6958952324868144
DPYD	4	-4.479418852933893
DPYSL5	3	-4.022142892021995
DSC1	2	-2.017924391926287
DSG3	4	-3.4862291565374983
DTNA	3	-5.7478209995000356
DUOX2	2	-2.0380583169557998
DUSP1	4	-2.5793721296708756
DUSP15	3	-4.47646581517731
DUSP26	3	-5.45699098086809
DYNLRB2	3	-4.060426095251024
DYSF	4	-2.496893026966361
EAF2	3	-2.1189002080898236
EBF2	4	-3.311581712343736
ECEL1	3	-2.1842619367921503
ECHDC2	3	-2.520713366292075
EDA	3	-5.212364463015473
EDDM13	3	-2.8866430394658344
EDN2	4	-2.7476140887475147
EEF1A2	3	-3.34440162919172
EFCAB10	3	-4.954192791423941
EFCAB6	3	-4.236846255475637
EFCC1	3	-3.8595866986286342
EFHB	3	-3.0626797990552728
EFNA2	3	-2.0975719695259505
EFNA3	2	-3.1290428606368215
EFNB2	4	-4.185250972610069
EGFLAM	3	-2.7615671410432254
EHF	3	-4.212573797097091
ELAVL3	3	-3.8209143623360515
ELAVL4	3	-4.613519572343046
ELF4	4	-2.4395341895645606
ELL2	4	-2.0533470498327797
ELL3	5	-2.417690170219662
ELMOD1	3	-3.8255011628985325
EMB	3	-2.6365347392351097
EMCN	3	-4.186219219391379
EMID1	3	-5.522380208284997
EMILIN2	4	-2.448952816442258
EML6	3	-4.865643380855687
ENPP3	3	-4.829524236718903
ENPP7	3	-2.4997029748834563
ENTHD1	4	-3.1552437077940847
ENTPD2	3	-3.7062379071688594
EOMES	3	-2.085144659110952
EPGN	2	-2.3745787674435705
EPHA5	2	-2.756869418182349
EPHX4	3	-4.954793147384952
ERBB3	3	-3.864124791400269
ERC2	3	-5.171517585063612
EREG	4	-2.7394003705830143
ERICH4	3	-2.1625300708960826
ERICH5	2	-3.15203969773863
ERICH6B	3	-2.786115958918371
ERP27	3	-4.910103320207797
ERRFI1	4	-2.2100174583774415
ERVMER34-1	3	-2.789183150620447
ESAM	3	-3.521927151039868
ESPN	4	-2.5271386443494714
ESRRG	3	-6.814510301083384
ETS2	3	-4.159103565915213
ETV1	3	-3.7973510706075158
ETV7	4	-2.19724232391829
EVA1A	4	-2.3343817719981677
EVI2B	3	-7.645107602212748
EVX1	3	-2.402769345909092
EXO1	2	-2.1676570874399066
EYA1	3	-2.1274897312488594
F10	2	-2.228196394912211
F2R	1	-4.350837791283224
FABP4	4	-3.333595404387716
FAIM2	3	-5.666062724094235
FAM110C	3	-2.547242989210261
FAM131B	3	-3.275904177197481
FAM133A	3	-3.833673514105252
FAM149A	3	-3.812332396741182
FAM155A	3	-2.684778918439212
FAM155B	3	-5.084554838887436
FAM159B	2	-2.540040899848393
FAM160A1	2	-2.3342749301700034
FAM167A	3	-4.951388737276289
FAM169A	3	-4.320743906019661
FAM181B	3	-4.190390172297184
FAM184B	3	-3.565588579805537
FAM189A1	3	-2.376401884705015
FAM19A1	3	-3.7895896813960404
FAM19A2	3	-4.518003153411039
FAM19A5	3	-3.34753527529895
FAM209A	2	-2.1408725994195392
FAM209B	4	-2.06318797409728
FAM20C	4	-2.8987549600704363
FAM212A	2	-2.7965789995450394
FAM230A	4	-2.2670412919112017
FAM240A	3	-2.735125356170152
FAM24B	2	-2.951717221613622
FAM26D	5	-2.1637851564833253
FAM3B	3	-5.0322108102899135
FAM3D	4	-2.8188604076583137
FAM43A	4	-2.6925025336443857
FAM47E-STBD1	3	-2.510165944337123
FAM53A	2	-2.819349669991388
FAM69C	3	-6.089893251411049
FAM72B	2	-2.2561924862627234
FAM72C	2	-3.112356624937258
FAM83B	4	-2.3268578751847024
FAM84B	3	-2.9873178873782047
FAR2	4	-2.5474033838310683
FAT2	2	-2.512544353760569
